px,py,rho_p
13,44,4.0666281001e-05
13,45,4.2547561162e-05
13,46,4.3745221470e-05
13,47,4.4327596048e-05
14,0,1.9792706601e-05
14,1,1.9098076865e-05
14,2,1.7673198392e-05
14,3,1.5444159037e-05
14,4,1.2293132420e-05
14,5,8.0492329933e-06
14,6,2.4749021453e-06
14,7,-4.7535869285e-06
14,8,-1.4073515095e-05
14,9,-2.6073741007e-05
14,10,-4.1546928698e-05
14,11,-6.1560199402e-05
14,12,-8.7548214181e-05
14,13,-1.2142985913e-04
14,14,-1.6574024309e-04
14,15,-2.2374519328e-04
14,16,-2.9945001549e-04
14,17,-3.9730429435e-04
14,18,-5.2122461757e-04
14,19,-6.7237198679e-04
14,20,-8.4525470630e-04
14,21,-1.0229401035e-03
14,22,-1.1750309651e-03
14,23,-1.2644335047e-03
14,24,-1.2644335047e-03
14,25,-1.1750309651e-03
14,26,-1.0229401035e-03
14,27,-8.4525470630e-04
14,28,-6.7237198679e-04
14,29,-5.2122461757e-04
14,30,-3.9730429435e-04
14,31,-2.9945001549e-04
14,32,-2.2374519328e-04
14,33,-1.6574024309e-04
14,34,-1.2142985913e-04
14,35,-8.7548214181e-05
14,36,-6.1560199402e-05
14,37,-4.1546928698e-05
14,38,-2.6073741007e-05
14,39,-1.4073515095e-05
14,40,-4.7535869285e-06
14,41,2.4749021453e-06
14,42,8.0492329933e-06
14,43,1.2293132420e-05
14,44,1.5444159037e-05
14,45,1.7673198392e-05
14,46,1.9098076865e-05
14,47,1.9792706601e-05
15,0,-1.3024116952e-05
15,1,-1.3864206977e-05
15,2,-1.5583389705e-05
15,3,-1.8262543018e-05
15,4,-2.2030459050e-05
15,5,-2.7073672257e-05
15,6,-3.3651098874e-05
15,7,-4.2115021126e-05
15,8,-5.2940609926e-05
15,9,-6.6767009379e-05
15,10,-8.4453957359e-05
15,11,-1.0715875208e-04
15,12,-1.3643838139e-04
15,13,-1.7437898040e-04
15,14,-2.2374519328e-04
15,15,-2.8811625356e-04
15,16,-3.7191580405e-04
15,17,-4.8012052622e-04
15,18,-6.1722579146e-04
15,19,-7.8481532712e-04
15,20,-9.7718052361e-04
15,21,-1.1757541049e-03
15,22,-1.3464634243e-03
15,23,-1.4471358434e-03
15,24,-1.4471358434e-03
15,25,-1.3464634243e-03
15,26,-1.1757541049e-03
15,27,-9.7718052361e-04
15,28,-7.8481532712e-04
15,29,-6.1722579146e-04
15,30,-4.8012052622e-04
15,31,-3.7191580405e-04
15,32,-2.8811625356e-04
15,33,-2.2374519328e-04
15,34,-1.7437898040e-04
15,35,-1.3643838139e-04
15,36,-1.0715875208e-04
15,37,-8.4453957359e-05
15,38,-6.6767009379e-05
15,39,-5.2940609926e-05
15,40,-4.2115021126e-05
15,41,-3.3651098874e-05
15,42,-2.7073672257e-05
15,43,-2.2030459050e-05
15,44,-1.8262543018e-05
15,45,-1.5583389705e-05
15,46,-1.3864206977e-05
15,47,-1.3024116952e-05
16,0,-5.6460141079e-05
16,1,-5.7488818092e-05
16,2,-5.9589449524e-05
16,3,-6.2851709114e-05
16,4,-6.7418225083e-05
16,5,-7.3495256800e-05
16,6,-8.1368608711e-05
16,7,-9.1426466613e-05
16,8,-1.0419158224e-04
16,9,-1.2036618032e-04
16,10,-1.4089408711e-04
16,11,-1.6704566016e-04
16,12,-2.0053142123e-04
16,13,-2.4364795231e-04
16,14,-2.9945001549e-04
16,15,-3.7191580405e-04
16,16,-4.6600729032e-04
16,17,-5.8739075187e-04
16,18,-7.4134031281e-04
16,19,-9.3005173207e-04
16,20,-1.1476327359e-03
16,21,-1.3734762819e-03
16,22,-1.5686950807e-03
16,23,-1.6842937707e-03
16,24,-1.6842937707e-03
16,25,-1.5686950807e-03
16,26,-1.3734762819e-03
16,27,-1.1476327359e-03
16,28,-9.3005173207e-04
16,29,-7.4134031281e-04
16,30,-5.8739075187e-04
16,31,-4.6600729032e-04
16,32,-3.7191580405e-04
16,33,-2.9945001549e-04
16,34,-2.4364795231e-04
16,35,-2.0053142123e-04
16,36,-1.6704566016e-04
16,37,-1.4089408711e-04
16,38,-1.2036618032e-04
16,39,-1.0419158224e-04
16,40,-9.1426466613e-05
16,41,-8.1368608711e-05
16,42,-7.3495256800e-05
16,43,-6.7418225083e-05
16,44,-6.2851709114e-05
16,45,-5.9589449524e-05
16,46,-5.7488818092e-05
16,47,-5.6460141079e-05
17,0,-1.1296615951e-04
17,1,-1.1423783449e-04
17,2,-1.1682989771e-04
17,3,-1.2084320515e-04
17,4,-1.2643796806e-04
17,5,-1.3384549968e-04
17,6,-1.4338573736e-04
17,7,-1.5549241828e-04
17,8,-1.7074863263e-04
17,9,-1.8993658140e-04
17,10,-2.1410672310e-04
17,11,-2.4467291079e-04
17,12,-2.8354089690e-04
17,13,-3.3327574480e-04
17,14,-3.9730429435e-04
17,15,-4.8012052622e-04
17,16,-5.8739075187e-04
17,17,-7.2570000264e-04
17,18,-9.0139188986e-04
17,19,-1.1175673547e-03
17,20,-1.3682469537e-03
17,21,-1.6302699893e-03
17,22,-1.8583391085e-03
17,23,-1.9940934213e-03
17,24,-1.9940934213e-03
17,25,-1.8583391085e-03
17,26,-1.6302699893e-03
17,27,-1.3682469537e-03
17,28,-1.1175673547e-03
17,29,-9.0139188986e-04
17,30,-7.2570000264e-04
17,31,-5.8739075187e-04
17,32,-4.8012052622e-04
17,33,-3.9730429435e-04
17,34,-3.3327574480e-04
17,35,-2.8354089690e-04
17,36,-2.4467291079e-04
17,37,-2.1410672310e-04
17,38,-1.8993658140e-04
17,39,-1.7074863263e-04
17,40,-1.5549241828e-04
17,41,-1.4338573736e-04
17,42,-1.3384549968e-04
17,43,-1.2643796806e-04
17,44,-1.2084320515e-04
17,45,-1.1682989771e-04
17,46,-1.1423783449e-04
17,47,-1.1296615951e-04
18,0,-1.8444445163e-04
18,1,-1.8602386470e-04
18,2,-1.8923829195e-04
18,3,-1.9420275924e-04
18,4,-2.0109976055e-04
18,5,-2.1019236438e-04
18,6,-2.2184378120e-04
18,7,-2.3654551976e-04
18,8,-2.5495724139e-04
18,9,-2.7796273168e-04
18,10,-3.0674807835e-04
18,11,-3.4291002649e-04
18,12,-3.8860391398e-04
18,13,-4.4673955314e-04
18,14,-5.2122461757e-04
18,15,-6.1722579146e-04
18,16,-7.4134031281e-04
18,17,-9.0139188986e-04
18,18,-1.1052138359e-03
18,19,-1.3572653030e-03
18,20,-1.6516995208e-03
18,21,-1.9621870205e-03
18,22,-2.2348166495e-03
18,23,-2.3981634499e-03
18,24,-2.3981634499e-03
18,25,-2.2348166495e-03
18,26,-1.9621870205e-03
18,27,-1.6516995208e-03
18,28,-1.3572653030e-03
18,29,-1.1052138359e-03
18,30,-9.0139188986e-04
18,31,-7.4134031281e-04
18,32,-6.1722579146e-04
18,33,-5.2122461757e-04
18,34,-4.4673955314e-04
18,35,-3.8860391398e-04
18,36,-3.4291002649e-04
18,37,-3.0674807835e-04
18,38,-2.7796273168e-04
18,39,-2.5495724139e-04
18,40,-2.3654551976e-04
18,41,-2.2184378120e-04
18,42,-2.1019236438e-04
18,43,-2.0109976055e-04
18,44,-1.9420275924e-04
18,45,-1.8923829195e-04
18,46,-1.8602386470e-04
18,47,-1.8444445163e-04
19,0,-2.7092079958e-04
19,1,-2.7287650933e-04
19,2,-2.7685206654e-04
19,3,-2.8298006508e-04
19,4,-2.9147064192e-04
19,5,-3.0262629328e-04
19,6,-3.1686401863e-04
19,7,-3.3474723998e-04
19,8,-3.5703110305e-04
19,9,-3.8472634929e-04
19,10,-4.1918903593e-04
19,11,-4.6224590242e-04
19,12,-5.1636754900e-04
19,13,-5.8490179594e-04
19,14,-6.7237198679e-04
19,15,-7.8481532712e-04
19,16,-9.3005173207e-04
19,17,-1.1175673547e-03
19,18,-1.3572653030e-03
19,19,-1.6556358499e-03
19,20,-2.0074008335e-03
19,21,-2.3824256185e-03
19,22,-2.7153074985e-03
19,23,-2.9163826260e-03
19,24,-2.9163826260e-03
19,25,-2.7153074985e-03
19,26,-2.3824256185e-03
19,27,-2.0074008335e-03
19,28,-1.6556358499e-03
19,29,-1.3572653030e-03
19,30,-1.1175673547e-03
19,31,-9.3005173207e-04
19,32,-7.8481532712e-04
19,33,-6.7237198679e-04
19,34,-5.8490179594e-04
19,35,-5.1636754900e-04
19,36,-4.6224590242e-04
19,37,-4.1918903593e-04
19,38,-3.8472634929e-04
19,39,-3.5703110305e-04
19,40,-3.3474723998e-04
19,41,-3.1686401863e-04
19,42,-3.0262629328e-04
19,43,-2.9147064192e-04
